,game,turn,ingredient_deck_count,discard_count,order_deck_count,orders_list,orders_list_count
0,0,0,58,0,34,"['Acquried Taste', 'Mango Pudding Tea', 'Jelly Fruit Tea', 'Mango Pudding Tea', 'Classic PMT', 'My Neighbour Totaro', 'My Neighbour Totaro', 'Strawberry Milk Tea', 'Jelly Fruit Tea', 'Milk Tea']",6
1,0,1,50,13,30,"['Acquried Taste', 'Mango Pudding Tea', 'Jelly Fruit Tea', 'Mango Pudding Tea', 'Classic PMT', 'My Neighbour Totaro', 'My Neighbour Totaro', 'Strawberry Milk Tea', 'Jelly Fruit Tea', 'Milk Tea']",5
2,0,2,42,24,26,"['Acquried Taste', 'Mango Pudding Tea', 'Jelly Fruit Tea', 'Mango Pudding Tea', 'Classic PMT', 'My Neighbour Totaro', 'My Neighbour Totaro', 'Strawberry Milk Tea', 'Jelly Fruit Tea', 'Milk Tea']",6
3,0,3,34,33,22,"['Acquried Taste', 'Mango Pudding Tea', 'Jelly Fruit Tea', 'Mango Pudding Tea', 'Classic PMT', 'My Neighbour Totaro', 'My Neighbour Totaro', 'Strawberry Milk Tea', 'Jelly Fruit Tea', 'Milk Tea']",6
4,0,4,26,39,18,"['Acquried Taste', 'Mango Pudding Tea', 'Jelly Fruit Tea', 'Mango Pudding Tea', 'Classic PMT', 'My Neighbour Totaro', 'My Neighbour Totaro', 'Strawberry Milk Tea', 'Jelly Fruit Tea', 'Milk Tea']",8
5,0,5,18,46,14,"['Acquried Taste', 'Mango Pudding Tea', 'Jelly Fruit Tea', 'Mango Pudding Tea', 'Classic PMT', 'My Neighbour Totaro', 'My Neighbour Totaro', 'Strawberry Milk Tea', 'Jelly Fruit Tea', 'Milk Tea']",9
6,0,6,10,54,10,"['Acquried Taste', 'Mango Pudding Tea', 'Jelly Fruit Tea', 'Mango Pudding Tea', 'Classic PMT', 'My Neighbour Totaro', 'My Neighbour Totaro', 'Strawberry Milk Tea', 'Jelly Fruit Tea', 'Milk Tea']",10
